,대표코드,품명,품번,경면(전면),임가공처
341,A24-766,Palm Beach Ash,14-11049-122,QT,"목림,승은산업, 제이제이데코"
342,A25-219,Palm Beach Ash ,14-11049-122,J,건창기업(유사 TK)
343,HF1-2,Palm Beach Ash ,14-11049-122,민자 (소프트엠보),메라톤
344,A3-379,Palm Beach Ash ,14-11049-122,UK,목림
345,HF1-1,Palm Beach Ash ,14-11049-124,민자 (소프트엠보),메라톤
346,B45-384,Palm Beach Ash,14-11049-124,L,건창기업
347,B3-743,Palm Beach Ash,14-11049-124,UK,
348,B3-742,Palm Beach Ash,14-11049-136,UK,
349,HF3-8,Palm Beach Ash,14-11049-136,HR,메라톤
350,B54-405,Palm Beach Ash,14-11049-136,ST,승은산업
351,B45-191,Palm Beach Ash,14-11049-136,L,건창기업
352,B3-897,Palm Beach Ash CN,14-11049-137,UK,
353,B3-898,Palm Beach Ash CN,14-11049-138,UK,
354,HF6-50,Palm Beach Ash,14-11049-139,WB,제이에스폴리텍
355,B3-899,Palm Beach Ash,14-11049-139,UK,
356,HF3-55,Palm Beach Ash,14-11049-141,HR,
357,HF1-10,Palm Beach Ash,14-11049-조색4,민자 (소프트엠보),메라톤
358,A3-613,Borodino Ash,14-11057-001,UK,목림
359,A25-224,Borodino Ash,14-11057-002,J,건창기업(유사 TK)
360,B45-622,Borodino Ash,14-11057-002,L,
361,C45-38,Alassio Ash,14-11072-003,L,
362,A24-853,Almeria Ash,14-11089-001,QT,"목림,승은산업, 제이제이데코"
363,A3-859,Almeria Ash,14-11089-001,UK,목림
364,A24-255,Almeria Ash,14-11089-109,QT,"목림,승은산업, 제이제이데코"
365,B43-13,Almeria Ash,14-11089-109,목림246,목림
366,A3-195,Almeria Ash,14-11089-109,UK,목림
367,A4-653,Almeria Ash,14-11089-117,소프트엠보 ,"목림,승은산업,건창기업,제이제이 데코 등"
368,B3-822,Almeria Ash,14-11089-117,UK,
369,B43-15,Almeria Ash,14-11089-122,목림246,목림
370,A3-426,Almeria Ash,14-11089-122,UK,목림
371,A3-737,Almeria Ash,14-11089-128,UK,목림
372,B45-674,Almeria Ash,14-11089-128,L,
373,B45-673,Almeria Ash,14-11089-130,L,
374,B3-83,Almeria Ash,14-11089-132,UK,목림
375,B45-515,Almeria Ash,14-11089-132,L,
376,B45-513,Almeria Ash,14-11089-133,L,
377,A3-925,Almeria Ash,14-11089-133,UK,목림
